(Intercept),var1,var2,var3
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE
